,roc_auc,f1,recall,neg_log_loss,precision,accuracy
BalancedRandomForestClassifier,0.6772493950822277,0.7423701346672765,0.6094503161326105,-0.6445788127144991,0.9496739862948587,0.6137514183468621
XGBClassifier,0.6456335219806615,0.9531999597768351,0.995099251709252,-0.2959127967619737,0.9146877195450578,0.9107507376637365
LGBMClassifier,0.6790138814185087,0.9543415675322626,0.9982803464950868,-0.27949208061274794,0.9141085055435827,0.9127531859023646
CatBoostClassifier,0.6836292728460804,0.954559351803697,0.9983234311334919,-0.27869332777943706,0.9144717544145721,0.9131850973882679
LogisticRegression,0.6796723838104519,0.9548620677737295,0.9989682411527765,-0.27863757524100974,0.9144861841792773,0.913734917872358
BalancedRandomForestClassifier_sm,0.6103318091426041,0.9195648746755068,0.9230508542841317,-0.38780031625721845,0.9161248638540143,0.8525206710850928
XGBClassifier_sm,0.584773132066818,0.8932671724323855,0.8695300522743036,-0.4335663046654085,0.9183709895959218,0.8102324839752635
LGBMClassifier_sm,0.5885872935801334,0.8846345995064219,0.852936221802379,-0.4465072279260084,0.9188210473636721,0.796843490069336
CatBoostClassifier_sm,0.585644220836726,0.9017458632640901,0.8853927186961096,-0.4181318300137935,0.9187325044132253,0.8237788183871417
LogisticRegression_sm,0.5689963810332372,0.8274919970182889,0.7504940692110744,-0.5607499868944259,0.9221395108503299,0.7142300863175289
BalancedRandomForestClassifier_gan,0.9379200571859106,0.8780720200740252,0.8874560331611303,-0.36170098868124634,0.8688937582754062,0.8767734885305
XGBClassifier_gan,0.9531914323175747,0.9098338426468064,0.941664415746807,-0.24827818097647314,0.8800990753439606,0.9066716634891385
LGBMClassifier_gan,0.9527014547131207,0.9055492878569034,0.9382681748999835,-0.2625856684092779,0.8750433374949693,0.9021365712521197
CatBoostClassifier_gan,0.9562719260233653,0.9186127321459423,0.9574842746612443,-0.23553840077433538,0.8827813605510894,0.9151620483941517
LogisticRegression_gan,0.8476292978979515,0.7721975346683136,0.7842838804700586,-0.48230759068791434,0.7605157238894471,0.7686356669639999
